exact_class_total,exact_class_total_dp,exact_class_total_dp_stderr,exact_class_total_logical_norm,exact_class_total_logical_norm_dp,exact_class_total_logical_norm_dp_stderr,exact_class_total_logical_norm_stderr,exact_class_total_norm,exact_class_total_norm_dp,exact_class_total_norm_dp_stderr,exact_class_total_norm_stderr,exact_class_total_stderr,exact_x_class,exact_x_class_component_norm,exact_x_class_component_norm_dp,exact_x_class_component_norm_dp_stderr,exact_x_class_component_norm_stderr,exact_x_class_dp,exact_x_class_dp_stderr,exact_x_class_logical_norm,exact_x_class_logical_norm_dp,exact_x_class_logical_norm_dp_stderr,exact_x_class_logical_norm_stderr,exact_x_class_norm,exact_x_class_norm_dp,exact_x_class_norm_dp_stderr,exact_x_class_norm_stderr,exact_x_class_stderr,exact_z_class,exact_z_class_component_norm,exact_z_class_component_norm_dp,exact_z_class_component_norm_dp_stderr,exact_z_class_component_norm_stderr,exact_z_class_dp,exact_z_class_dp_stderr,exact_z_class_logical_norm,exact_z_class_logical_norm_dp,exact_z_class_logical_norm_dp_stderr,exact_z_class_logical_norm_stderr,exact_z_class_norm,exact_z_class_norm_dp,exact_z_class_norm_dp_stderr,exact_z_class_norm_stderr,exact_z_class_stderr,p,p_high,p_low,runs
0.0,0.001,0.0007070891024120915,0.0,0.000125,8.838613780151144e-05,0.0,0.0,1.1627906976744187e-05,8.221966307117344e-06,0.0,0.0,0.0,0.0,1.1627906976744187e-05,1.1627906976744187e-05,0.0,0.0005,0.0005,0.0,0.000125,0.000125,0.0,0.0,5.8139534883720935e-06,5.8139534883720935e-06,0.0,0.0,0.0,0.0,1.1627906976744187e-05,1.1627906976744187e-05,0.0,0.0005,0.0005,0.0,0.000125,0.000125,0.0,0.0,5.8139534883720935e-06,5.8139534883720935e-06,0.0,0.0,0.0,0.1,0.0,20000
0.0001,0.07775,0.00465148671839817,1.25e-05,0.00971875,0.0005814358397997712,8.838613780151147e-06,1.1627906976744186e-06,0.0009040697674418605,5.4087054865094997e-05,8.221966307117346e-07,7.070891024120918e-05,5e-05,1.1627906976744186e-06,0.000691860465116279,6.481923655159064e-05,1.1627906976744186e-06,0.02975,0.0027872271717183975,1.25e-05,0.0074375,0.0006968067929295994,1.2499999999999999e-05,5.813953488372093e-07,0.0003459302325581395,3.240961827579532e-05,5.813953488372093e-07,4.9999999999999996e-05,5e-05,1.1627906976744186e-06,0.0011162790697674418,8.26659360826453e-05,1.1627906976744186e-06,0.048,0.003554635251553748,1.25e-05,0.012,0.000888658812888437,1.2499999999999999e-05,5.813953488372093e-07,0.0005581395348837209,4.133296804132265e-05,5.813953488372093e-07,4.9999999999999996e-05,0.1,0.2,0.0,20000
0.01555,0.4323333333333334,0.014851071040463236,0.00194375,0.054041666666666675,0.0018563838800579045,0.00011628716795995425,0.0001808139534883721,0.0050271317829457375,0.00017268687256352598,1.0817410973019e-05,0.000930297343679634,0.00595,0.00013837209302325582,0.004209302325581395,0.0001982875829136097,1.2963847310318126e-05,0.181,0.008526366065285217,0.0014875,0.04525,0.0021315915163213042,0.00013936135858591986,6.918604651162791e-05,0.0021046511627906975,9.914379145680485e-05,6.481923655159063e-06,0.0005574454343436795,0.0096,0.00022325581395348835,0.005844961240310078,0.00023095293310976435,1.6533187216529062e-05,0.25133333333333335,0.009930976123719867,0.0024,0.06283333333333334,0.0024827440309299668,0.00017773176257768742,0.00011162790697674418,0.002922480620155039,0.00011547646655488217,8.266593608264531e-06,0.0007109270503107497,0.2,0.25,0.1,20000
0.06495,2.1015000000000006,0.04507811541451646,0.00811875,0.2626875000000001,0.005634764426814557,0.0002785796344898755,0.0007552325581395348,0.024436046511627913,0.0005241641327269356,2.591438460370935e-05,0.002228637075919004,0.0272,0.0006325581395348837,0.02161627906976745,0.0005788700816734633,2.9764624725845777e-05,0.9295000000000003,0.024891413511958924,0.0068,0.23237500000000008,0.006222853377989731,0.0003199697158028421,0.00031627906976744186,0.010808139534883725,0.00028943504083673167,1.4882312362922889e-05,0.0012798788632113684,0.03775,0.000877906976744186,0.027255813953488382,0.0006393693624829072,3.466097834208794e-05,1.1720000000000004,0.027492882586765008,0.0094375,0.2930000000000001,0.006873220646691252,0.0003726055171774454,0.000438953488372093,0.013627906976744191,0.0003196846812414536,1.733048917104397e-05,0.0014904220687097815,0.25,0.3,0.2,20000
0.2257,5.4700000000000015,0.07775125248420854,0.0282125,0.6837500000000002,0.009718906560526068,0.0005880859073632202,0.002624418604651163,0.06360465116279071,0.0009040843312117272,5.470566580122978e-05,0.004704687258905761,0.0989,0.0023,0.06001162790697676,0.001004154217967303,5.977363922937031e-05,2.5805000000000007,0.04317863137259403,0.024725,0.6451250000000002,0.010794657843148507,0.0006425666217157308,0.00115,0.03000581395348838,0.0005020771089836515,2.9886819614685154e-05,0.002570266486862923,0.1268,0.0029488372093023256,0.06719767441860468,0.0010270508396262757,6.706592828895056e-05,2.889500000000001,0.04416318610392985,0.0317,0.7223750000000002,0.011040796525982463,0.0007209587291062185,0.0014744186046511628,0.03359883720930234,0.0005135254198131378,3.353296414447528e-05,0.002883834916424874,0.3,0.35,0.25,20000
0.61195,8.405833333333334,0.11748113111132891,0.07649375,1.0507291666666667,0.014685141388916113,0.0010635434543453497,0.007115697674418605,0.09774224806201551,0.00136605966408522,9.893427482282323e-05,0.008508347634762797,0.28525,0.006633720930232559,0.09362403100775195,0.001545825418165943,0.00010748159409384042,4.025833333333334,0.06647049298113555,0.0713125,1.0064583333333335,0.01661762324528389,0.0011554271365087844,0.0033168604651162793,0.046812015503875974,0.0007729127090829715,5.374079704692021e-05,0.004621708546035138,0.3267,0.0075976744186046505,0.10186046511627907,0.0015790774680760284,0.0001118928855393192,4.38,0.06790033112726922,0.081675,1.095,0.016975082781817304,0.0012028485195476814,0.0037988372093023253,0.050930232558139533,0.0007895387340380142,5.59464427696596e-05,0.004811394078190726,0.35,0.36,0.3,20000
0.73005,12.699999999999989,0.22279583007564316,0.09125625,1.5874999999999986,0.027849478759455395,0.0011769484014492134,0.008488953488372093,0.14767441860465103,0.002590649186926083,0.00010948357222783381,0.009415587211593707,0.34045,0.007917441860465115,0.14133720930232546,0.0029904550202947237,0.00011817862622123958,6.077499999999995,0.12858956587267312,0.0851125,1.5193749999999988,0.03214739146816828,0.0012704202318783255,0.003958720930232557,0.07066860465116273,0.0014952275101473619,5.908931311061979e-05,0.005081680927513302,0.3896,0.00906046511627907,0.15401162790697662,0.003129983783742341,0.00012305159002322193,6.622499999999994,0.13458930270092065,0.0974,1.6556249999999986,0.03364732567523016,0.0013228045927496357,0.004530232558139535,0.07700581395348831,0.0015649918918711704,6.152579501161096e-05,0.005291218370998543,0.36,0.37,0.35,20000
0.86595,14.344999999999988,0.23783161468536326,0.10824375,1.7931249999999985,0.029728951835670408,0.0012875566422112154,0.010069186046511629,0.1668023255813952,0.0027654838916902707,0.00011977271090336888,0.010300453137689724,0.4068,0.00946046511627907,0.16331395348837194,0.003220651791690871,0.0001288070274887951,7.022499999999994,0.13848802704270746,0.1017,1.7556249999999984,0.034622006760676866,0.0013846755455045475,0.004730232558139535,0.08165697674418597,0.0016103258958454355,6.440351374439755e-05,0.00553870218201819,0.45915,0.010677906976744186,0.17029069767441848,0.003279712466060991,0.0001334896104098715,7.3224999999999945,0.14102763604062263,0.1147875,1.8306249999999986,0.03525690901015566,0.0014350133119061185,0.005338953488372093,0.08514534883720924,0.0016398562330304956,6.674480520493575e-05,0.005740053247624474,0.37,0.38,0.36,20000
1.01695,15.937499999999988,0.25019329431806514,0.12711875,1.9921874999999984,0.03127416178975814,0.001403368921430982,0.011825,0.18531976744186032,0.002909224352535641,0.00013054594617962622,0.011226951371447856,0.4809,0.011183720930232559,0.18366279069767427,0.0034080916107827675,0.00014014126994881215,7.897499999999994,0.146547939263659,0.120225,1.9743749999999984,0.03663698481591475,0.0015065186519497306,0.005591860465116279,0.09183139534883714,0.0017040458053913837,7.007063497440607e-05,0.0060260746077989225,0.53605,0.012466279069767442,0.18697674418604637,0.0034164285967050205,0.00014406772850244812,8.039999999999994,0.14690642965831588,0.1340125,2.0099999999999985,0.03672660741457897,0.0015487280814013174,0.006233139534883721,0.09348837209302319,0.0017082142983525102,7.203386425122406e-05,0.00619491232560527,0.38,0.39,0.37,20000
1.1847,17.55999999999998,0.263577870210462,0.1480875,2.1949999999999976,0.03294723377630775,0.0015174333996566768,0.013775581395348839,0.2041860465116277,0.0030648589559356043,0.00014115659531690016,0.012139467197253414,0.56475,0.013133720930232557,0.20383720930232538,0.003594128150779239,0.00015117617963824475,8.764999999999992,0.1545475104835073,0.1411875,2.191249999999998,0.03863687762087682,0.0016251439311111312,0.006566860465116279,0.10191860465116269,0.0017970640753896196,7.558808981912238e-05,0.006500575724444525,0.61995,0.014417441860465117,0.20453488372093007,0.0035808353669133162,0.00015470415688571788,8.794999999999993,0.1539759207772726,0.1549875,2.198749999999998,0.03849398019431815,0.0016630696865214672,0.007208720930232559,0.10226744186046503,0.0017904176834566581,7.735207844285894e-05,0.006652278746085869,0.39,0.4,0.38,20000
